TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
01-06-2020 0.00,TXN00000011,A00007952,PLC00003007,30-03-2019,20-05-2020,25-05-2020,Life,61.45,92000,Janet Watts,200 Redwood Road,,Manchester,CT,6040,233-66-3524,N,59,14,Y,7,M,Mortgage,MI,58804083,CQZQ73037026635053,Masters,A,Major Loss,Ambulance,1,1,MD,Crofton,23,AGENT01091,VNDR00163
01-06-2020 0.00,TXN00000012,A00006313,PLC00002139,22-07-2016,21-05-2020,26-05-2020,Motor,101.15,8000,Patricia Garrett,6721 Boundary Run,,Nashville,TN,37221,224-80-1633,Y,42,39,Y,2,H,Own,HI,11697253,YGZM08271540598654,High School,A,Major Loss,Ambulance,1,1,CT,Manchester,3,AGENT00288,
01-06-2020 0.00,TXN00000013,A00003693,PLC00007839,12-06-2019,24-05-2020,27-05-2020,Health,157.95,11000,Lisa Rosario,12870 Old Seward Highway,#STE 000105,Anchorage,AK,99515,115-30-1247,Y,57,118,Y,3,M,Mortgage,LI,74438433,NAUY34845981013549,Bachelor,A,Major Loss,None,0,1,KY,Louisville,22,AGENT00015,VNDR00191
01-06-2020 0.00,TXN00000014,A00007988,PLC00002521,29-01-2020,18-05-2020,23-05-2020,Life,64.16,51000,Felicita Stoughton,110 Oxford Road,,Savannah,GA,31419,170-28-1062,N,31,118,Y,7,L,Own,LI,64537739,GIOA39230059052323,High School,A,Total Loss,Ambulance,1,0,AK,Anchorage,0,AGENT01094,
01-06-2020 0.00,TXN00000015,A00005617,PLC00007011,08-06-2015,20-05-2020,25-05-2020,Mobile,6.76,700,David Pennington,210 Seaman,,McCrory,AR,72101,519-11-2464,Y,55,90,Y,6,L,Mortgage,HI,93703880,LDQH95350551363442,PhD,A,Major Loss,Police,1,1,CO,Arvada,11,AGENT00324,VNDR00135
01-06-2020 0.00,TXN00000016,A00008033,PLC00008152,25-01-2011,12-05-2020,17-05-2020,Motor,128.73,9000,William Halcomb,5124 E Street Southeast,,Washington,DC,20019,142-09-4530,Y,57,48,Y,2,L,Rent,LI,115671968,KNLE94705483907630,NA,A,Minor Loss,Police,0,1,AR,Fayetteville,22,AGENT00608,VNDR00051
01-06-2020 0.00,TXN00000017,A00007184,PLC00000118,17-04-2014,13-05-2020,18-05-2020,Property,114.42,39000,Michael Kimball,42 Edison Road,,Manchester,CT,6040,448-54-0272,Y,53,19,Y,5,M,Mortgage,MI,71737399,XHMQ62339445289593,Bachelor,A,Major Loss,Other,0,1,DC,Washington,2,AGENT00911,VNDR00238
01-06-2020 0.00,TXN00000018,A00007426,PLC00000165,25-03-2015,22-05-2020,25-05-2020,Property,157.18,40000,Mark Huang,9545 West 74th Avenue,,Arvada,CO,80005,696-53-5272,Y,32,106,Y,4,L,Mortgage,HI,47797949,AAET31045958150067,Bachelor,A,Major Loss,Police,0,1,AL,Montgomery,14,AGENT00079,
01-06-2020 0.00,TXN00000019,A00009265,PLC00000619,03-11-2017,27-05-2020,28-05-2020,Motor,116.55,8000,Marshall Worm,119 Oakland Street,,Manchester,CT,6042,848-09-7847,N,45,69,Y,4,H,Mortgage,MI,117427424,WGFI36482098909043,High School,A,Total Loss,Ambulance,0,1,MA,Fitchburg,20,AGENT00994,VNDR00107
01-06-2020 0.00,TXN00000020,A00005314,PLC00001411,08-11-2013,17-05-2020,22-05-2020,Life,77.17,68000,Mary Carmona,643 Farragut Street Northwest,,Washington,DC,20011,614-24-5584,Y,59,119,Y,5,M,Mortgage,MI,32494684,GYVA20207571838807,High School,A,Total Loss,None,1,1,CO,Arvada,1,AGENT00490,
01-06-2020 0.00,TXN00000021,A00004720,PLC00003338,10-07-2015,30-05-2020,30-05-2020,Health,155.23,17000,Stacey Lopez,10 Skyline Way,,Hartford,VT,5001,889-29-6243,Y,51,51,Y,6,L,Own,MI,95548658,VRFH55935817723257,High School,A,Total Loss,Other,1,0,CO,Arvada,3,AGENT00446,VNDR00215
01-06-2020 0.00,TXN00000022,A00004728,PLC00004242,19-01-2017,26-05-2020,28-05-2020,Mobile,9.15,300,David Goodman,1358 Scenic Avenue,R B,Berkeley,CA,94708,272-95-9193,N,51,101,Y,4,L,Rent,LI,74148888,EFWW85075225830509,Masters,A,Major Loss,Ambulance,0,1,DC,Washington,18,AGENT00379,
01-06-2020 0.00,TXN00000023,A00001482,PLC00007915,29-12-2011,28-05-2020,29-05-2020,Life,81.45,80000,Doris Yazzie,17109 Guava Avenue,,Panama City Beach,FL,32413,258-50-0636,N,44,49,Y,4,L,Rent,MI,20968245,XHTX98098767352371,Bachelor,A,Major Loss,Ambulance,1,1,CA,Woodland,7,AGENT00302,VNDR00375
01-06-2020 0.00,TXN00000024,A00001719,PLC00000786,20-06-2015,22-05-2020,25-05-2020,Property,153.04,10000,Matt Mattis,1040 West 27th Avenue,#APT 000401,Anchorage,AK,99503,438-64-3416,Y,64,81,N,7,M,Rent,MI,71782933,NJKK70954001222323,NA,A,Total Loss,None,0,0,CO,Arvada,22,AGENT00266,VNDR00585
01-06-2020 0.00,TXN00000025,A00000138,PLC00009960,29-10-2011,17-05-2020,22-05-2020,Property,120.31,30000,Roberto Trudel,110 Oxford Road,,Savannah,GA,31419,119-15-1075,Y,47,60,Y,5,L,Mortgage,MI,13763486,GDUZ05112182575401,Bachelor,A,Minor Loss,Police,1,0,FL,Lynn Haven,10,AGENT00947,
01-06-2020 0.00,TXN00000026,A00001186,PLC00007391,18-03-2018,27-05-2020,28-05-2020,Property,87.09,37000,Brian Conley,1742 Allerford Drive,,Hanover,MD,21076,786-93-0182,Y,47,95,Y,5,H,Mortgage,MI,129853109,RKGB68336454670370,Bachelor,A,Minor Loss,Police,1,1,TN,Nashville,13,AGENT00070,VNDR00051
01-06-2020 0.00,TXN00000027,A00006946,PLC00009230,30-12-2011,14-05-2020,19-05-2020,Health,130.78,17000,Barbara Clouthier,4329 Howe Street,,Oakland,CA,94611,363-11-4142,Y,26,28,Y,3,L,Rent,MI,96206630,TTLB31669942391037,PhD,A,Total Loss,Police,1,1,GA,Savannah,11,AGENT00739,
01-06-2020 0.00,TXN00000028,A00004112,PLC00003274,23-06-2014,28-05-2020,29-05-2020,Health,119.4,19000,Elbert Felix,780 South Wilmington Avenue,#107,Fayetteville,AR,72701,438-24-0006,Y,57,85,Y,3,L,Own,HI,99964979,TPIY02608088603933,Masters,A,Minor Loss,Police,0,0,MA,Quincy,0,AGENT01169,VNDR00310
01-06-2020 0.00,TXN00000029,A00004865,PLC00007448,29-08-2016,20-05-2020,25-05-2020,Property,159.2,37000,Ronald Shaver,4339 Oak Street,,Montgomery,AL,36105,892-06-1080,Y,43,32,N,3,L,Own,LI,125180326,POCQ85673947426778,Bachelor,A,Minor Loss,None,0,1,MD,Pasadena,7,AGENT00431,VNDR00339
01-06-2020 0.00,TXN00000030,A00002422,PLC00005607,29-06-2019,18-05-2020,23-05-2020,Mobile,8.32,600,Lauren Loftin,1536 Rachaels Ridge,,Nashville,TN,37076,708-10-7356,N,58,49,Y,4,M,Own,HI,94974294,RUQN45743921948489,Bachelor,A,Major Loss,Police,0,1,CO,Arvada,19,AGENT00546,VNDR00233
01-06-2020 0.00,TXN00000031,A00003691,PLC00009902,03-07-2010,14-05-2020,19-05-2020,Health,147.7,13000,Mildred Whitten,6225 West Citrus Way,,Glendale,AZ,85301,571-86-2413,N,25,117,Y,7,M,Rent,MI,49391929,EDWX65101648714154,PhD,A,Major Loss,Ambulance,1,0,CO,Arvada,3,AGENT00531,VNDR00249
02-06-2020 0.00,TXN00000032,A00006915,PLC00008459,26-01-2016,20-05-2020,25-05-2020,Property,124.45,15000,Alyssa Bowen,57 Bremer Drive,,Glen Burnie,MD,21061,324-12-8749,N,41,106,Y,4,L,Rent,LI,47677166,POTY61852082916542,Bachelor,A,Minor Loss,Ambulance,1,1,AL,Montgomery,22,AGENT01134,
02-06-2020 0.00,TXN00000033,A00009130,PLC00009575,28-03-2013,26-05-2020,28-05-2020,Life,51.18,27000,James Hendrickson,1010 M Street Northwest,,Washington,DC,20001,121-18-2947,Y,33,28,Y,7,M,Mortgage,LI,84128597,GVKB17765236114559,PhD,A,Minor Loss,Police,1,1,KY,Louisville,0,AGENT00552,
02-06-2020 0.00,TXN00000034,A00001581,PLC00002330,24-05-2012,25-05-2020,28-05-2020,Mobile,8.38,100,Brent Lusk,33 Pond Avenue,#804,Brookline,MA,2445,884-70-6944,N,64,100,Y,5,L,Own,LI,26944098,TVMN53017065329095,Bachelor,A,Minor Loss,Other,1,1,CT,Manchester,17,AGENT00623,VNDR00045
02-06-2020 0.00,TXN00000035,A00007890,PLC00005354,13-08-2014,17-05-2020,22-05-2020,Life,95.16,74000,Charles Johnson,2708 Mabel Street,M,Berkeley,CA,94702,400-09-6992,N,26,51,Y,2,L,Mortgage,LI,48917333,XJBP78174504296161,College,A,Major Loss,None,1,1,KY,Louisville,13,AGENT00313,VNDR00226
02-06-2020 0.00,TXN00000036,A00003536,PLC00003499,14-02-2013,13-05-2020,18-05-2020,Life,66.73,69000,Gloria Davis,8642 Yule Street,,Arvada,CO,80007,609-62-9979,Y,30,100,Y,3,M,Mortgage,MI,52371279,MLQQ52836833984394,Masters,A,Minor Loss,Ambulance,1,0,MD,Pasadena,7,AGENT00886,
02-06-2020 0.00,TXN00000037,A00008207,PLC00008260,22-06-2017,17-05-2020,22-05-2020,Mobile,8.27,300,Irene Metcalf,105 Ridgecrest Court,,Panama City,FL,32405,528-09-1289,Y,57,104,Y,4,L,Rent,MI,68178220,QVVL37112428156552,Bachelor,A,Minor Loss,Police,1,1,FL,Panama City,8,AGENT00690,
02-06-2020 0.00,TXN00000038,A00003348,PLC00009265,28-02-2018,30-05-2020,30-05-2020,Life,50.3,18000,Patsy Cantu,450 C Street,,Hayward,CA,94541,003-13-0404,Y,30,35,Y,5,M,Own,MI,120615841,DVUO82204207227748,High School,A,Total Loss,Police,0,1,AL,Montgomery,14,AGENT00678,
02-06-2020 0.00,TXN00000039,A00000014,PLC00005626,29-12-2011,21-05-2020,26-05-2020,Mobile,6.59,600,Louis Yang,10723 Colonial Woods Court,,Louisville,KY,40223,537-94-6385,Y,26,108,Y,4,L,Rent,HI,108078918,DZZS26513735959155,Masters,A,Minor Loss,Ambulance,0,0,DC,Washington,6,AGENT00132,VNDR00560
02-06-2020 0.00,TXN00000040,A00006283,PLC00008977,27-07-2010,18-05-2020,23-05-2020,Mobile,11.04,600,Albert Wilkie,25 Church Street,A,Pittsfield,MA,1201,676-21-8617,Y,62,108,Y,5,H,Rent,MI,80775494,PEYZ72511103907481,PhD,A,Total Loss,Other,0,1,CT,Manchester,0,AGENT00284,
02-06-2020 0.00,TXN00000041,A00003499,PLC00000212,17-07-2014,23-05-2020,26-05-2020,Life,86.77,34000,Paula Davis,3138 P Street Northwest,,Washington,DC,20007,240-40-7987,N,55,118,Y,5,L,Mortgage,LI,16085161,AUZC56642432965451,High School,A,Major Loss,Ambulance,0,0,CT,Manchester,2,AGENT00312,VNDR00018
02-06-2020 0.00,TXN00000042,A00008902,PLC00006704,06-07-2015,20-05-2020,25-05-2020,Motor,89.11,2000,Dorothy James,161 Creek Road,,Middlebury,VT,5753,070-72-6085,Y,62,66,Y,4,H,Own,HI,101768063,DNIH58931093485640,Masters,A,Minor Loss,Police,0,1,AK,Anchorage,14,AGENT00622,VNDR00560
02-06-2020 0.00,TXN00000043,A00002740,PLC00003271,05-09-2010,18-05-2020,23-05-2020,Property,140.72,35000,Wayne Landrum,123 Elizabeth Drive,,Manchester,CT,6042,805-55-1701,Y,57,93,Y,3,L,Rent,HI,63890969,XCCN77413681932167,PhD,A,Total Loss,Police,1,1,AR,Farmington,0,AGENT00896,VNDR00086
02-06-2020 0.00,TXN00000044,A00009289,PLC00005560,27-07-2018,22-05-2020,27-05-2020,Property,129.9,18000,Edward Igtanloc,5038 North Cimarron Drive,,Beverly Hills,FL,34465,406-18-6432,N,32,55,Y,6,L,Own,MI,88497800,TDZX14521972398113,High School,A,Minor Loss,Ambulance,1,1,OK,Oklahoma City,18,AGENT00744,
02-06-2020 0.00,TXN00000045,A00007672,PLC00006003,28-11-2012,24-05-2020,27-05-2020,Life,84.99,66000,Cheryl Silva,1163 Rosedale Drive,,Montgomery,AL,36107,304-55-2565,Y,39,51,N,3,L,Own,MI,52142877,ZWDK87915849039058,College,A,Minor Loss,Ambulance,1,1,AL,Montgomery,16,AGENT00617,
02-06-2020 0.00,TXN00000046,A00000956,PLC00009442,01-10-2012,28-05-2020,29-05-2020,Travel,90.04,5000,Mary Cotton,5205 West Thunderbird Road,#1042,Glendale,AZ,85306,457-41-8492,Y,51,105,Y,2,M,Rent,MI,62624709,ESDM80770942826459,High School,A,Minor Loss,None,1,1,AR,Farmington,5,AGENT00969,VNDR00071
02-06-2020 0.00,TXN00000047,A00000134,PLC00002112,09-12-2010,26-05-2020,28-05-2020,Motor,117.72,7000,Harold Garcia,1004 Bellflower Street,,Livermore,CA,94551,089-20-6131,N,31,39,Y,7,L,Rent,MI,66376794,SVBH69026302599270,High School,D,Major Loss,Police,0,0,CO,Arvada,0,AGENT00642,
02-06-2020 0.00,TXN00000048,A00006528,PLC00006887,28-07-2017,31-05-2020,31-05-2020,Property,109.74,15000,Tori Mcbride,2868 Peak Road,,Wheelock,VT,5851,600-66-0177,Y,31,42,Y,4,L,Rent,LI,25506152,HPNJ35229119468476,High School,D,Minor Loss,None,0,1,VT,Richmond,2,AGENT00845,VNDR00009
02-06-2020 0.00,TXN00000049,A00008607,PLC00003012,09-09-2018,29-05-2020,30-05-2020,Mobile,9.05,300,Bertha Roseman,9912 Shirewick Way,,Louisville,KY,40272,833-27-9802,N,56,115,Y,5,M,Mortgage,HI,37023694,IXWO46656763995594,Bachelor,A,Major Loss,Ambulance,1,1,DC,Washington,22,AGENT00580,
02-06-2020 0.00,TXN00000050,A00004589,PLC00003093,07-05-2016,23-05-2020,26-05-2020,Motor,116.99,10000,Travis Louis,6988 West Blackhawk Drive,,Glendale,AZ,85308,099-80-2815,N,51,88,Y,7,M,Own,MI,60549064,KMUD72296439165444,College,A,Minor Loss,Ambulance,0,0,AZ,Glendale,13,AGENT00697,VNDR00488
02-06-2020 0.00,TXN00000051,A00002074,PLC00003805,15-03-2015,13-05-2020,18-05-2020,Mobile,11.04,400,Marion Dollyhigh,200 Edgewood Way,,Louisville,KY,40243,342-01-9180,Y,49,20,N,2,H,Mortgage,MI,124990371,SNHD15581740138573,PhD,A,Total Loss,Ambulance,1,1,VT,Greensboro,22,AGENT00780,
02-06-2020 0.00,TXN00000052,A00000481,PLC00001551,07-04-2017,15-05-2020,20-05-2020,Mobile,6.63,600,Thomas Lancon,31 Hills Point Road,,Charlotte,VT,5445,113-92-5138,Y,64,59,Y,7,L,Own,LI,43037069,PJIY57215323019683,Bachelor,A,Total Loss,Other,0,1,AL,Montgomery,22,AGENT01183,VNDR00277
02-06-2020 0.00,TXN00000053,A00009041,PLC00009146,27-05-2013,29-05-2020,30-05-2020,Motor,82.82,9000,Wanda Ellison,812 Southwest 151st Street,,Oklahoma City,OK,73170,690-70-2051,N,43,34,Y,7,L,Mortgage,MI,122837245,GOHK04433169519680,College,A,Major Loss,Ambulance,0,0,AK,Anchorage,21,AGENT00293,VNDR00025
02-06-2020 0.00,TXN00000054,A00000859,PLC00008827,05-09-2017,27-05-2020,29-05-2020,Property,104.05,16000,Donald Meehan,10001 Pheasant Lane,,Oklahoma City,OK,73162,256-95-2029,Y,41,106,N,7,L,Rent,MI,88353591,GZRX57828572868183,Bachelor,A,Minor Loss,Ambulance,1,1,GA,Savannah,5,AGENT01049,VNDR00448
02-06-2020 0.00,TXN00000055,A00000583,PLC00005283,29-06-2011,20-05-2020,25-05-2020,Property,137.02,19000,Phillip Walker,7030 Cotton Blossom Lane,,Montgomery,AL,36117,510-04-6704,Y,46,49,Y,3,M,Rent,MI,106596832,TWRC19045429434630,Bachelor,A,Total Loss,Ambulance,1,1,MD,Glen Burnie,9,AGENT00046,VNDR00445
02-06-2020 0.00,TXN00000056,A00004719,PLC00002737,01-04-2015,16-05-2020,21-05-2020,Travel,75.99,3000,Claire Carter,68 Route 66,,,VT,5149,231-40-5595,Y,64,92,Y,5,L,Rent,HI,92470130,MQNM96349350027601,College,A,Total Loss,Ambulance,1,0,MA,Waltham,19,AGENT00224,VNDR00498
02-06-2020 0.00,TXN00000057,A00002089,PLC00009114,02-07-2010,19-05-2020,24-05-2020,Motor,92.71,2000,Antony Ender,1418 Paddocks Court,,Crownsville,MD,21032,697-38-5325,N,47,102,Y,2,H,Mortgage,MI,72406182,DWQY63421510919755,High School,A,Total Loss,Police,1,1,CA,Jackson,7,AGENT00410,VNDR00358
02-06-2020 0.00,TXN00000058,A00004245,PLC00001839,18-11-2019,29-05-2020,30-05-2020,Property,111.33,30000,John Tilley,333 Saint Charles Avenue,#B2,Fayetteville,AR,72701,662-23-6761,N,36,15,Y,2,L,Rent,LI,68771096,YDMW11240259428960,College,A,Total Loss,Ambulance,1,1,AK,Anchorage,14,AGENT00515,VNDR00164
02-06-2020 0.00,TXN00000059,A00009116,PLC00007965,25-06-2019,21-05-2020,26-05-2020,Mobile,8.51,300,John Flores,589 East Main Street,,Newport,VT,5855,006-21-5361,Y,48,16,Y,2,L,Mortgage,MI,54275263,YLHY94788738769738,MD,A,Major Loss,Ambulance,1,1,OK,Oklahoma City,21,AGENT00824,VNDR00083
02-06-2020 0.00,TXN00000060,A00003178,PLC00003361,30-08-2019,19-05-2020,24-05-2020,Travel,97.08,2000,Edward Laderman,702 East 53rd Street,,Savannah,GA,31405,480-78-6356,Y,56,104,Y,7,L,Own,LI,17460895,SMAE47168586745493,High School,A,Total Loss,None,1,0,KY,Louisville,11,AGENT00288,
02-06-2020 0.00,TXN00000061,A00005466,PLC00000652,27-08-2010,19-05-2020,24-05-2020,Property,155.05,16000,Margaret Bolen,4316 Sunnybrook Drive,,Montgomery,AL,36108,456-25-1821,Y,32,12,Y,2,L,Rent,MI,129055774,LNCN35545852997825,NA,A,Minor Loss,Ambulance,1,0,VT,Fairfax,15,AGENT00308,VNDR00457
02-06-2020 0.00,TXN00000062,A00007369,PLC00001585,19-07-2018,21-05-2020,26-05-2020,Property,124.97,35000,Calvin Eichelberger,1001 6th Street Northwest,,Washington,DC,20001,212-38-2492,Y,42,14,Y,7,H,Mortgage,MI,129687524,MYKU47380246034439,Masters,A,Total Loss,Other,0,1,OK,Oklahoma City,21,AGENT01028,VNDR00383
02-06-2020 0.00,TXN00000063,A00002702,PLC00003400,21-05-2017,24-05-2020,27-05-2020,Property,151.81,15000,Arthur Mitchell,4113 Holiday Drive,,Panama City,FL,32408,503-23-1603,Y,53,69,N,7,L,Mortgage,HI,67082223,DXAP62849781819185,High School,A,Minor Loss,Ambulance,1,1,AZ,Glendale,20,AGENT00111,VNDR00010
02-06-2020 0.00,TXN00000064,A00006128,PLC00000459,27-10-2014,01-06-2020,01-06-2020,Property,121.54,31000,Debra Oliphant,819 Beazer Lane,,Nashville,TN,37013,547-03-8985,N,40,108,Y,5,L,Own,HI,58989209,VUQP55717718058143,PhD,A,Major Loss,Police,1,1,MD,Annapolis,22,AGENT00697,VNDR00269
02-06-2020 0.00,TXN00000065,A00001291,PLC00004134,10-09-2015,31-05-2020,31-05-2020,Travel,77.47,3000,Mariann Hill,4770 Balboa Way,,Fremont,CA,94536,260-75-2618,Y,39,16,Y,7,M,Rent,MI,33604525,WBAI50060157750979,Masters,D,Total Loss,Ambulance,0,0,MD,Millersville,12,AGENT00018,VNDR00314
02-06-2020 0.00,TXN00000066,A00000261,PLC00006979,17-02-2011,26-05-2020,28-05-2020,Life,67.55,96000,Michael Beltrami,210 Lacross Lane,,Westmore,VT,5860,451-75-0398,Y,28,13,Y,5,M,Mortgage,MI,123535287,NIKX08316034181330,High School,A,Major Loss,Police,1,1,CT,Manchester,13,AGENT00612,
02-06-2020 0.00,TXN00000067,A00008288,PLC00000241,25-03-2018,15-05-2020,20-05-2020,Travel,98.49,2000,Marion Coffey,8376 Albacore Drive,,Pasadena,MD,21122,456-23-3939,N,37,96,Y,5,L,Own,HI,90534463,ORIX99111215780425,High School,A,Total Loss,Other,1,0,AK,Anchorage,5,AGENT00141,VNDR00383
03-06-2020 0.00,TXN00000068,A00009904,PLC00004191,03-11-2014,02-06-2020,02-06-2020,Mobile,11.21,400,Denise Blake,188 Saint Matthews Avenue,#1,Louisville,KY,40207,397-02-6816,Y,53,54,Y,6,M,Own,MI,68127035,KXMI18864169803227,Bachelor,A,Total Loss,Other,1,1,CT,Manchester,10,AGENT00572,
03-06-2020 0.00,TXN00000069,A00007027,PLC00008450,09-02-2011,28-05-2020,30-05-2020,Health,156.2,3000,William Martin,2707 Eden Street,,Nashville,TN,37208,234-71-8403,Y,36,82,N,4,L,Rent,MI,125033376,VDAJ67452473390304,Bachelor,A,Total Loss,Police,0,0,CA,Oakland,7,AGENT00565,VNDR00239
03-06-2020 0.00,TXN00000070,A00003818,PLC00008734,23-09-2019,23-05-2020,28-05-2020,Mobile,7.23,100,Jacqueline Simpson,6120 Southeast 84th Street,,Oklahoma City,OK,73135,149-26-5568,N,47,16,Y,5,M,Own,MI,37326061,UWLR26207782157320,High School,A,Major Loss,Other,1,1,AR,Fayetteville,9,AGENT00603,
03-06-2020 0.00,TXN00000071,A00005168,PLC00000010,30-01-2019,24-05-2020,27-05-2020,Mobile,11.63,400,James Thurgood,706 James Road,,Glen Burnie,MD,21061,436-11-4663,Y,33,51,Y,2,M,Mortgage,MI,96197820,MWMS58295299243238,Bachelor,A,Total Loss,Ambulance,1,0,AK,Anchorage,1,AGENT01107,VNDR00033
03-06-2020 0.00,TXN00000072,A00007705,PLC00009039,09-01-2013,30-05-2020,31-05-2020,Travel,74.36,5000,Mathew Sims,88 Pine Valley Road,,Savannah,GA,31404,336-07-2797,N,56,40,Y,3,L,Rent,MI,125921653,RUYI99196056833871,Bachelor,A,Total Loss,Police,0,1,CO,Arvada,5,AGENT00615,VNDR00407
03-06-2020 0.00,TXN00000073,A00000877,PLC00008900,24-06-2015,21-05-2020,26-05-2020,Life,76.97,99000,Jeremy Riccio,1823 North Munchkin Lane,,Fayetteville,AR,72704,437-26-6789,Y,52,108,Y,7,L,Mortgage,LI,24029287,LDWA59377646592079,Bachelor,A,Minor Loss,Ambulance,0,1,FL,Panama City Beach,3,AGENT00309,
